X,Y
0,418.177
1,121.021
2,-884.225
3,-1512.904
4,-1117.834
5,-154.523
6,1495.878
7,548.883
8,-953.378
9,-613.594
10,-1568.920
11,-1713.039
12,-327.376
13,677.301
14,341.471
15,-1252.629
16,-2398.326
