X,Y
0,984.162
1,324.545
2,-172.888
3,-930.825
4,-1017.699
5,-802.871
6,1197.068
7,694.413
8,450.980
9,-679.503
10,-434.716
11,-1168.560
12,-155.106
13,18.195
14,590.047
15,83.253
16,-654.393
