X,Y
0,1030.226
1,634.499
2,-566.095
3,-1313.304
4,-934.589
5,-244.702
6,821.451
7,980.693
8,303.745
9,-501.804
10,-1384.715
11,-821.064
12,29.608
13,849.344
14,759.045
15,-121.477
16,-1545.893
17,-1594.545
18,-863.329
19,427.262
20,843.724
21,490.409
22,-625.227
23,-1030.135
24,-1289.513
25,-128.009
26,625.873
27,1057.850
28,334.030
29,-535.974
30,-1218.135
31,-965.817
32,-105.941
33,680.519
34,847.950
35,32.666
36,-712.873
37,-1082.503
38,-976.169
39,184.259
40,826.133
41,81.373
42,-562.696
43,-1283.092
44,-848.930
45,-627.657
46,317.642
47,778.607
48,338.080
49,-457.989
50,-1039.952
51,-1124.913
52,-299.697
53,378.596
54,687.394
55,-135.207
56,-483.167
57,-1378.745
58,-1071.329
