X,Y
0,376.558
1,715.910
2,868.749
3,-122.025
4,-872.097
5,-1062.661
6,-467.410
7,342.824
8,1376.005
9,934.459
10,129.245
11,-998.762
12,-1087.844
13,-380.814
14,684.651
15,1155.430
16,739.442
17,-825.626
18,-1314.749
19,-853.164
20,-305.543
21,922.802
22,1227.225
23,268.171
24,-516.734
25,-539.861
26,-451.098
27,470.320
28,785.625
29,980.276
30,2.939
31,-525.502
32,-963.938
33,-132.847
34,256.898
35,1189.624
36,299.498
37,152.887
38,-657.072
39,-569.176
40,-211.954
41,756.494
42,636.476
43,258.050
44,-488.876
45,-994.676
46,-768.007
47,-54.961
48,624.428
49,541.843
50,-331.347
51,-729.072
52,-1178.039
53,-414.112
54,367.858
55,724.138
56,267.268
57,-288.193
58,-1173.625
