X,Y
0,363.840
1,-537.273
2,-837.586
3,7.436
4,701.315
5,1495.051
6,1237.310
7,355.906
8,-531.525
9,-878.357
10,-342.244
11,903.040
12,1328.638
13,937.806
14,237.017
15,-1002.772
16,-916.115
17,10.316
18,920.012
19,1436.275
20,1039.418
21,-184.567
22,-588.489
23,-321.869
24,747.539
25,1215.529
26,1292.216
27,675.377
28,-124.215
29,-887.429
30,-155.185
31,461.150
32,1304.333
33,994.214
34,135.372
35,-534.888
36,-445.446
37,-489.235
38,668.676
39,871.245
40,901.315
41,137.547
42,-607.011
43,-980.299
44,-308.482
45,950.449
46,1102.846
47,954.366
48,-228.881
49,-922.933
50,-687.574
51,245.177
52,947.132
53,1422.011
54,847.875
55,-17.544
56,-840.808
57,-817.498
58,-28.887
