X,Y
0,-412.707
1,389.085
2,1019.195
3,455.624
4,-9.861
5,-1087.591
6,-873.084
7,-554.419
8,741.642
9,1027.954
10,595.966
11,-509.780
12,-915.755
13,-1207.607
14,-285.856
15,523.460
16,987.259
17,216.339
18,-675.842
19,-839.973
20,-175.480
21,563.839
22,1081.501
23,533.131
24,-127.936
25,-1063.399
26,-852.232
27,65.528
28,966.752
29,1045.697
30,224.317
31,-386.493
32,-1040.706
33,-488.179
34,158.136
35,1057.932
36,846.928
37,148.741
38,-895.670
39,-932.473
40,-721.835
41,564.418
42,665.158
43,568.986
