X,Y
0,-0.35388
1,-0.49589
2,-0.58281
3,-0.60151
4,-0.54914
5,-0.43427
6,-0.27358
7,-0.08656
8,0.10798
9,0.29207
10,0.44697
11,0.55367
12,0.59666
13,0.56907
14,0.47538
15,0.32969
16,0.15088
17,-0.04192
18,-0.23050
19,-0.39639
20,-0.52037
21,-0.58523
22,-0.58093
23,-0.50833
24,-0.37893
25,-0.21053
26,-0.02228
27,0.16771
28,0.34159
29,0.48059
30,0.56652
31,0.58628
32,0.53659
33,0.42530
34,0.26841
35,0.08502
36,-0.10623
37,-0.28733
38,-0.43959
39,-0.54413
40,-0.58572
41,-0.55778
42,-0.46496
43,-0.32132
44,-0.14542
45,0.04400
46,0.22914
47,0.39191
48,0.51344
49,0.57680
50,0.57198
51,0.49971
52,0.37120
53,0.20400
54,0.01713
55,-0.17130
56,-0.34331
57,-0.48008
58,-0.56357
59,-0.58107
60,-0.52973
61,-0.41776
62,-0.26122
63,-0.07903
64,0.11041
65,0.28925
66,0.43896
67,0.54091
68,0.58023
69,0.55076
70,0.45744
71,0.31439
72,0.14004
73,-0.04701
74,-0.22913
75,-0.38836
76,-0.50615
77,-0.56604
78,-0.55864
79,-0.48526
