X,Y
0,-0.30168
1,-0.05493
2,0.19767
3,0.43397
4,0.62888
5,0.75584
6,0.79420
7,0.73748
8,0.59614
9,0.39306
10,0.15475
11,-0.09521
12,-0.33605
13,-0.54592
14,-0.70022
15,-0.77619
16,-0.76099
17,-0.65702
18,-0.48100
19,-0.25744
20,-0.01093
21,0.23667
22,0.46361
23,0.64530
24,0.75659
25,0.77935
26,0.70972
27,0.55978
28,0.35251
29,0.11348
30,-0.13452
31,-0.37068
32,-0.57233
33,-0.71451
34,-0.77552
35,-0.74490
36,-0.62784
37,-0.44303
38,-0.21545
39,0.03082
40,0.27438
41,0.49343
42,0.66337
43,0.76005
44,0.76758
45,0.68465
46,0.52518
47,0.31265
48,0.07205
49,-0.17442
50,-0.40577
51,-0.59872
52,-0.72829
53,-0.77416
54,-0.72841
55,-0.59879
56,-0.40560
57,-0.17402
58,0.07238
59,0.31238
60,0.52380
61,0.68194
62,0.76377
63,0.75576
64,0.65933
65,0.49029
66,0.27253
67,0.03047
68,-0.21425
69,-0.44045
70,-0.62433
71,-0.74112
