X,Y
0,-0.82239
1,-0.79125
2,-0.67046
3,-0.47737
4,-0.23656
5,0.02741
6,0.29212
7,0.53384
8,0.72453
9,0.83508
10,0.84517
11,0.75305
12,0.57644
13,0.34374
14,0.08317
15,-0.18187
16,-0.43025
17,-0.63835
18,-0.78000
19,-0.83316
20,-0.78853
21,-0.65374
22,-0.45017
23,-0.20437
24,0.05930
25,0.31937
26,0.55295
27,0.73285
28,0.83153
29,0.83105
30,0.73154
31,0.55104
32,0.31708
33,0.05673
34,-0.20721
35,-0.45328
36,-0.65694
37,-0.79123
38,-0.83440
39,-0.77885
40,-0.63464
41,-0.42498
42,-0.17686
43,0.08583
44,0.34209
45,0.56921
46,0.74035
47,0.82926
48,0.81991
49,0.71392
50,0.52973
51,0.29431
52,0.03396
53,-0.22887
54,-0.47238
55,-0.67138
56,-0.79875
57,-0.83345
58,-0.76943
59,-0.61848
60,-0.40473
61,-0.15515
62,0.10674
63,0.36009
64,0.58211
65,0.74624
66,0.82733
67,0.81096
68,0.69998
69,0.51308
70,0.27675
71,0.01666
72,-0.24503
73,-0.48628
74,-0.68157
75,-0.80379
