X,Y
0,-0.86035
1,-0.89463
2,-0.81998
3,-0.65776
4,-0.43929
5,-0.19164
6,0.06786
7,0.32716
8,0.57087
9,0.77329
10,0.90003
11,0.91855
12,0.81712
13,0.61176
14,0.33535
15,0.02348
16,-0.29052
17,-0.57171
18,-0.78308
19,-0.89294
20,-0.88789
21,-0.77887
22,-0.59422
23,-0.36569
24,-0.11644
25,0.14005
26,0.39315
27,0.62626
28,0.81152
29,0.91386
30,0.90390
31,0.77653
32,0.55245
33,0.26566
34,-0.04907
35,-0.35847
36,-0.62677
37,-0.81723
38,-0.90132
39,-0.87164
40,-0.74495
41,-0.55170
42,-0.32181
43,-0.07513
44,0.17706
45,0.42468
46,0.65027
47,0.82501
48,0.91433
49,0.89162
50,0.75496
51,0.52625
52,0.23904
53,-0.07301
54,-0.37711
55,-0.63737
56,-0.81866
57,-0.89457
58,-0.86069
59,-0.73444
60,-0.54531
61,-0.32141
62,-0.08106
63,0.16541
64,0.40862
65,0.63184
66,0.80707
67,0.90141
