X,Y
0,0.148597
1,0.054922
2,-0.043816
3,-0.136987
4,-0.214439
5,-0.267354
6,-0.289580
7,-0.278908
8,-0.237522
9,-0.171273
10,-0.088208
11,0.002806
12,0.092831
13,0.173090
14,0.235208
15,0.271950
16,0.278488
17,0.253648
18,0.200374
19,0.125133
20,0.036657
21,-0.055308
22,-0.140847
23,-0.210555
24,-0.256455
25,-0.273228
26,-0.259289
27,-0.217047
28,-0.152155
29,-0.072188
30,0.014531
31,0.099553
32,0.174517
33,0.231458
34,0.263576
35,0.266476
36,0.239308
37,0.185154
38,0.110437
39,0.023721
40,-0.065442
41,-0.147345
42,-0.212836
43,-0.254288
44,-0.266817
45,-0.249261
46,-0.204332
47,-0.137813
48,-0.057288
49,0.028938
50,0.112381
51,0.184607
52,0.237625
53,0.264790
54,0.262122
55,0.229396
56,0.170399
57,0.092166
58,0.003730
59,-0.085039
60,-0.164254
61,-0.224795
62,-0.259381
63,-0.263843
64,-0.237969
65,-0.185461
66,-0.112962
67,-0.028734
68,0.058350
69,0.139354
70,0.205619
71,0.249408
72,0.265019
73,0.250043
74,0.206099
75,0.138568
76,0.055517
