X,Y
0,-0.24316
1,-0.44276
2,-0.59725
3,-0.68547
4,-0.69354
5,-0.62015
6,-0.47717
7,-0.28506
8,-0.06637
9,0.15796
10,0.36782
11,0.54156
12,0.65697
13,0.69658
14,0.65394
15,0.53612
16,0.36100
17,0.15098
18,-0.07234
19,-0.28887
20,-0.47785
21,-0.61703
22,-0.68649
23,-0.67509
24,-0.58478
25,-0.42988
26,-0.23171
27,-0.01236
28,0.20785
29,0.40882
30,0.56879
31,0.66633
32,0.68625
33,0.62521
34,0.49310
35,0.30920
36,0.09581
37,-0.12604
38,-0.33642
39,-0.51412
40,-0.63703
41,-0.68689
42,-0.65555
43,-0.54822
44,-0.38143
45,-0.17707
46,0.04323
47,0.25946
48,0.45121
49,0.59651
50,0.67499
51,0.67415
52,0.59413
53,0.44767
54,0.25527
55,0.03897
56,-0.18083
57,-0.38416
58,-0.54948
59,-0.65512
60,-0.68482
61,-0.63362
62,-0.50983
63,-0.33184
64,-0.12184
65,0.09889
66,0.31032
67,0.49156
68,0.62073
69,0.67918
70,0.65766
71,0.55990
72,0.40110
73,0.20243
74,-0.01473
75,-0.23053
76,-0.42493
77,-0.57625
78,-0.66383
79,-0.67397
80,-0.60498
