X,Y
0,-0.89374
1,-0.77679
2,-0.58385
3,-0.34857
4,-0.09397
5,0.16658
6,0.42150
7,0.65258
8,0.82985
9,0.91759
10,0.88856
11,0.74007
12,0.49642
13,0.19354
14,-0.13176
15,-0.44285
16,-0.70121
17,-0.86751
18,-0.91633
19,-0.84776
20,-0.68699
21,-0.46945
22,-0.22379
23,0.03260
24,0.28924
25,0.53364
26,0.74267
27,0.88327
28,0.92028
29,0.83621
30,0.64163
31,0.36785
32,0.05244
33,-0.26884
34,-0.56005
35,-0.78194
36,-0.90074
37,-0.89986
38,-0.79085
39,-0.60484
40,-0.37519
41,-0.12601
42,0.12928
43,0.38067
44,0.61238
45,0.79831
46,0.90312
47,0.89805
48,0.77493
49,0.55269
50,0.26542
51,-0.05075
52,-0.36058
53,-0.62764
54,-0.81553
55,-0.89588
56,-0.86262
57,-0.73288
58,-0.53787
59,-0.30751
60,-0.06179
61,0.18736
62,0.42910
63,0.64556
64,0.80885
65,0.88761
66,0.85851
67,0.72057
68,0.49426
69,0.21239
70,-0.08982
71,-0.37926
72,-0.62187
73,-0.78675
74,-0.85285
75,-0.81694
