X,Y
0,0.296420
1,0.347535
2,0.357980
3,0.326345
4,0.257279
5,0.160093
6,0.046468
7,-0.071292
8,-0.180927
9,-0.270466
10,-0.329123
11,-0.349215
12,-0.328210
13,-0.269511
14,-0.181345
15,-0.074573
16,0.039179
17,0.148320
18,0.241435
19,0.307779
20,0.338772
21,0.330057
22,0.282865
23,0.203689
24,0.102518
25,-0.009154
26,-0.119512
27,-0.216830
28,-0.289957
29,-0.329677
30,-0.330697
31,-0.293154
32,-0.222530
33,-0.128027
34,-0.020532
35,0.088703
36,0.188480
37,0.267881
38,0.317206
39,0.329761
40,0.303678
41,0.242542
42,0.154363
43,0.049654
44,-0.060186
45,-0.163619
46,-0.249311
47,-0.306960
48,-0.328991
49,-0.312443
50,-0.259830
51,-0.178338
52,-0.077933
53,0.030396
54,0.135494
55,0.226291
56,0.292296
57,0.324978
58,0.319707
59,0.277122
60,0.202964
61,0.106502
62,-0.001352
63,-0.109227
64,-0.205723
65,-0.279846
66,-0.322222
67,-0.327028
68,-0.293610
69,-0.226664
70,-0.134837
71,-0.028763
72,0.080346
73,0.181208
74,0.262744
75,0.314986
76,0.330857
77,0.308026
78,0.249620
79,0.163271
