X,Y
0,-0.21922
1,-0.41278
2,-0.56420
3,-0.65302
4,-0.66544
5,-0.59952
6,-0.46596
7,-0.28402
8,-0.07534
9,0.13978
10,0.34189
11,0.51029
12,0.62376
13,0.66535
14,0.62832
15,0.51879
16,0.35336
17,0.15330
18,-0.06048
19,-0.26850
20,-0.45070
21,-0.58576
22,-0.65457
23,-0.64617
24,-0.56207
25,-0.41562
26,-0.22701
27,-0.01744
28,0.19343
29,0.38620
30,0.54007
31,0.63459
32,0.65512
33,0.59825
34,0.47314
35,0.29800
36,0.09413
37,-0.11819
38,-0.31960
39,-0.48969
40,-0.60735
41,-0.65519
42,-0.62546
43,-0.52311
44,-0.36386
45,-0.16855
46,0.04209
47,0.24874
48,0.43171
49,0.56998
50,0.64420
51,0.64256
52,0.56532
53,0.42472
54,0.24034
55,0.03327
56,-0.17680
57,-0.37054
58,-0.52725
59,-0.62634
60,-0.65259
61,-0.60165
62,-0.48178
63,-0.31063
64,-0.10937
65,0.10166
66,0.30314
67,0.47489
68,0.59597
69,0.64880
70,0.62501
71,0.52869
72,0.37476
73,0.18358
74,-0.02433
75,-0.22984
76,-0.41354
77,-0.55466
78,-0.63377
79,-0.63846
80,-0.56796
