X,Y
0,0.138530
1,-0.004746
2,-0.146756
3,-0.271549
4,-0.364168
5,-0.412811
6,-0.411735
7,-0.362872
8,-0.274783
9,-0.159666
10,-0.030444
11,0.100557
12,0.221339
13,0.319636
14,0.383524
15,0.403603
16,0.375930
17,0.303680
18,0.196382
19,0.067391
20,-0.068558
21,-0.196554
22,-0.302047
23,-0.372086
24,-0.397710
25,-0.376403
26,-0.312632
27,-0.216052
28,-0.098665
29,0.027326
30,0.150127
31,0.257948
32,0.338941
33,0.382502
34,0.381808
35,0.336122
36,0.251316
37,0.138265
38,0.010305
39,-0.118544
40,-0.234283
41,-0.323541
42,-0.375160
43,-0.382611
44,-0.345787
45,-0.270808
46,-0.167928
47,-0.048987
48,0.074125
49,0.189695
50,0.285967
51,0.351648
52,0.377751
53,0.360033
54,0.300509
55,0.206966
56,0.090887
57,-0.034733
58,-0.156622
59,-0.261646
60,-0.337559
61,-0.374766
62,-0.368566
63,-0.320461
64,-0.237528
65,-0.130307
66,-0.010621
67,0.109612
68,0.218531
69,0.304488
70,0.357103
71,0.369295
72,0.339287
73,0.271202
74,0.173872
75,0.058719
76,-0.062003
77,-0.176010
78,-0.271280
79,-0.336827
80,-0.364413
81,-0.350526
