X,Y
0,-0.92838
1,-0.80236
2,-0.59850
3,-0.35258
4,-0.08767
5,0.18301
6,0.44774
7,0.68743
8,0.86868
9,0.94970
10,0.90652
11,0.74241
12,0.48365
13,0.17093
14,-0.16039
15,-0.47737
16,-0.73954
17,-0.90442
18,-0.94573
19,-0.86360
20,-0.68540
21,-0.45333
22,-0.19584
23,0.07109
24,0.33706
25,0.58744
26,0.79681
27,0.92701
28,0.93981
29,0.82716
30,0.60789
31,0.31637
32,-0.00862
33,-0.33325
34,-0.62363
35,-0.83750
36,-0.93799
37,-0.91379
38,-0.78069
39,-0.57315
40,-0.32832
41,-0.06785
42,0.19687
43,0.45491
44,0.68724
45,0.86293
46,0.94393
47,0.90036
48,0.73886
49,0.48758
50,0.18175
51,-0.14227
52,-0.45182
53,-0.71105
54,-0.87995
55,-0.92957
56,-0.86243
57,-0.70240
58,-0.48349
59,-0.23722
60,0.01994
61,0.27804
62,0.52470
63,0.73621
64,0.88109
65,0.92493
66,0.84811
67,0.66497
68,0.40576
69,0.10427
70,-0.20613
71,-0.49270
72,-0.72257
73,-0.86074
74,-0.88773
