X,Y
0,0.040442
1,-0.123201
2,-0.274137
3,-0.396183
4,-0.473929
5,-0.496197
6,-0.459804
7,-0.370799
8,-0.242166
9,-0.089791
10,0.070492
11,0.223416
12,0.353510
13,0.445350
14,0.486140
15,0.469551
16,0.398122
17,0.282374
18,0.137324
19,-0.020977
20,-0.176836
21,-0.314530
22,-0.418238
23,-0.474086
24,-0.473863
25,-0.417948
26,-0.315127
27,-0.179447
28,-0.026485
29,0.128589
30,0.270841
31,0.384993
32,0.456518
33,0.474849
34,0.436907
35,0.348359
36,0.221603
37,0.072094
38,-0.084397
39,-0.232345
40,-0.356026
41,-0.440215
42,-0.473049
43,-0.449673
44,-0.374012
45,-0.257264
46,-0.114265
47,0.039636
48,0.189521
49,0.320339
50,0.416893
51,0.465929
52,0.459780
53,0.399180
54,0.293067
55,0.155545
56,0.002326
57,-0.151055
58,-0.289129
59,-0.396292
60,-0.458418
61,-0.466314
62,-0.418848
63,-0.323378
64,-0.193115
65,-0.043442
66,0.110309
67,0.252988
68,0.369146
69,0.444033
70,0.466707
71,0.433609
72,0.349974
73,0.227946
74,0.082876
75,-0.069549
76,-0.214046
77,-0.335299
78,-0.418464
79,-0.451747
80,-0.430037
81,-0.357049
