X,Y
0,-0.84886
1,-0.96241
2,-0.94392
3,-0.80619
4,-0.58548
5,-0.31859
6,-0.03117
7,0.26003
8,0.53729
9,0.77340
10,0.92973
11,0.97012
12,0.88001
13,0.67811
14,0.40014
15,0.08224
16,-0.24545
17,-0.55263
18,-0.80241
19,-0.95156
20,-0.96954
21,-0.85864
22,-0.65321
23,-0.39377
24,-0.10949
25,0.18165
26,0.46423
27,0.71500
28,0.89860
29,0.97441
30,0.92011
31,0.74500
32,0.48416
33,0.17541
34,-0.15039
35,-0.46521
36,-0.73490
37,-0.91762
38,-0.97667
39,-0.90371
40,-0.72549
41,-0.48221
42,-0.20716
43,0.07956
44,0.36386
45,0.62726
46,0.83882
47,0.95861
48,0.95379
49,0.82287
50,0.59339
51,0.30342
52,-0.01439
53,-0.33272
54,-0.62193
55,-0.84371
56,-0.95822
57,-0.94359
58,-0.81100
59,-0.59768
60,-0.34018
61,-0.06337
62,0.21797
63,0.48919
64,0.72692
65,0.89534
66,0.95831
67,0.89671
68,0.72300
69,0.47087
70,0.17542
71,-0.13524
72,-0.43493
73,-0.69268
74,-0.87052
75,-0.93714
