X,Y
0,-0.33215
1,-0.10464
2,0.13255
3,0.35819
4,0.54940
5,0.68208
6,0.73629
7,0.70328
8,0.58892
9,0.41134
10,0.19427
11,-0.03925
12,-0.26845
13,-0.47236
14,-0.62812
15,-0.71412
16,-0.71669
17,-0.63537
18,-0.48318
19,-0.28163
20,-0.05399
21,0.17827
22,0.39437
23,0.57176
24,0.68741
25,0.72363
26,0.67447
27,0.54811
28,0.36366
29,0.14448
30,-0.08720
31,-0.31079
32,-0.50481
33,-0.64624
34,-0.71468
35,-0.69905
36,-0.60198
37,-0.43877
38,-0.23170
39,-0.00360
40,0.22461
41,0.43214
42,0.59637
43,0.69512
44,0.71292
45,0.64680
46,0.50745
47,0.31516
48,0.09310
49,-0.13709
50,-0.35486
51,-0.53829
52,-0.66446
53,-0.71454
54,-0.68032
55,-0.56747
56,-0.39330
57,-0.18060
58,0.04823
59,0.27254
60,0.47120
61,0.62144
62,0.70221
63,0.70064
64,0.61702
65,0.46462
66,0.26475
67,0.04020
68,-0.18794
69,-0.39908
70,-0.57092
71,-0.68097
72,-0.71231
73,-0.65970
74,-0.53164
75,-0.34716
76,-0.12933
77,0.09973
78,0.31931
79,0.50787
80,0.64284
81,0.70492
82,0.68438
83,0.58474
84,0.42144
85,0.21618
86,-0.00890
87,-0.23330
88,-0.43633
89,-0.59560
90,-0.68958
91,-0.70368
92,-0.63552
