X,Y
0,-0.31633
1,-0.07819
2,0.16747
3,0.39897
4,0.59232
5,0.72209
6,0.76797
7,0.72239
8,0.59357
9,0.40216
10,0.17344
11,-0.06916
12,-0.30487
13,-0.51222
14,-0.66740
15,-0.74816
16,-0.74123
17,-0.64765
18,-0.48248
19,-0.26889
20,-0.03095
21,0.20966
22,0.43164
23,0.61141
24,0.72480
25,0.75391
26,0.69385
27,0.55485
28,0.35806
29,0.12808
30,-0.11251
31,-0.34298
32,-0.54123
33,-0.68317
34,-0.74770
35,-0.72408
36,-0.61628
37,-0.44141
38,-0.22324
39,0.01470
40,0.25121
41,0.46498
42,0.63234
43,0.73009
44,0.74252
45,0.66751
46,0.51743
47,0.31426
48,0.08217
49,-0.15685
50,-0.38201
51,-0.57066
52,-0.69877
53,-0.74673
54,-0.70646
55,-0.58472
56,-0.40039
57,-0.17755
58,0.06074
59,0.29353
60,0.49916
61,0.65381
62,0.73536
63,0.73058
64,0.64029
65,0.47908
66,0.26963
67,0.03563
68,-0.20151
69,-0.42088
70,-0.59936
71,-0.71325
