X,Y
0,-0.32197
1,-0.45860
2,-0.54431
3,-0.56642
4,-0.52159
5,-0.41716
6,-0.26833
7,-0.09334
8,0.08989
9,0.26418
10,0.41186
11,0.51512
12,0.55924
13,0.53727
14,0.45273
15,0.31826
16,0.15134
17,-0.02987
18,-0.20792
19,-0.36521
20,-0.48367
21,-0.54715
22,-0.54601
23,-0.48063
24,-0.36130
25,-0.20444
26,-0.02804
27,0.15065
28,0.31465
29,0.44630
30,0.52862
31,0.54927
32,0.50483
33,0.40221
34,0.25606
35,0.08422
36,-0.09555
37,-0.26599
38,-0.40936
39,-0.50803
40,-0.54783
41,-0.52260
42,-0.43653
43,-0.30251
44,-0.13782
45,0.03989
46,0.21361
47,0.36619
48,0.47995
49,0.53920
50,0.53470
51,0.46709
52,0.34669
53,0.18979
54,0.01429
55,-0.16250
56,-0.32337
57,-0.45060
58,-0.52749
59,-0.54249
60,-0.49324
61,-0.38747
62,-0.24015
63,-0.06897
64,0.10862
65,0.27555
66,0.41426
67,0.50749
68,0.54173
69,0.51172
70,0.42240
71,0.28707
72,0.12301
73,-0.05221
74,-0.22170
75,-0.36837
76,-0.47499
77,-0.52673
78,-0.51561
79,-0.44358
