X,Y
0,-0.48019
1,-0.71156
2,-0.85096
3,-0.88014
4,-0.80341
5,-0.64240
6,-0.42765
7,-0.18514
8,0.06870
9,0.32229
10,0.56094
11,0.75982
12,0.88478
13,0.90445
14,0.80585
15,0.60362
16,0.32944
17,0.01922
18,-0.29171
19,-0.56773
20,-0.77202
21,-0.87549
22,-0.86740
23,-0.75917
24,-0.57879
25,-0.35625
26,-0.11368
27,0.13592
28,0.38238
29,0.60967
30,0.79127
31,0.89343
32,0.88746
33,0.76650
34,0.54818
35,0.26543
36,-0.04581
37,-0.35077
38,-0.61273
39,-0.79676
40,-0.87714
41,-0.84826
42,-0.72693
43,-0.54132
44,-0.31957
45,-0.08100
46,0.16329
47,0.40334
48,0.62319
49,0.79601
50,0.88834
51,0.87466
52,0.74894
53,0.53008
54,0.25005
55,-0.05652
56,-0.35473
57,-0.60964
58,-0.78686
59,-0.86374
60,-0.83648
61,-0.72039
62,-0.54255
63,-0.32912
64,-0.09852
65,0.13866
66,0.37349
67,0.59072
68,0.76558
69,0.86698
70,0.86844
