X,Y
0,-0.28624
1,-0.03180
2,0.22697
3,0.46747
4,0.66356
5,0.78743
6,0.81804
7,0.75011
8,0.59654
9,0.38250
10,0.13553
11,-0.12080
12,-0.36594
13,-0.57768
14,-0.73065
15,-0.80165
16,-0.77827
17,-0.66425
18,-0.47802
19,-0.24529
20,0.00897
21,0.26286
22,0.49425
23,0.67753
24,0.78647
25,0.80268
26,0.72340
27,0.56275
28,0.34562
29,0.09841
30,-0.15613
31,-0.39722
32,-0.60176
33,-0.74387
34,-0.80122
35,-0.76362
36,-0.63751
37,-0.44323
38,-0.20693
39,0.04694
40,0.29691
41,0.52074
42,0.69290
43,0.78826
44,0.79066
45,0.69974
46,0.53111
47,0.30979
48,0.06148
49,-0.19162
50,-0.42848
51,-0.62529
52,-0.75607
53,-0.79975
54,-0.74849
55,-0.61115
56,-0.40949
57,-0.16977
58,0.08404
59,0.33062
60,0.54738
61,0.70869
62,0.79056
63,0.77914
64,0.67652
65,0.49987
66,0.27436
67,0.02499
68,-0.22652
69,-0.45892
70,-0.64779
71,-0.76731
